Permit.Number	Facility.Name	Year	Month	Reuse.Flow.to.Pinellas..ADF...MGD..R.002	BOD	BOD..Unit	QBOD	TSS	TSS.Unit	QTSS	Total.N	Total.N.Unit	Q.Total.N	NO2.NO3	NO2.NO3.Unit	Q.NO2.NO3	NH4	NH4.Unit	Q.NH4	TKN	TKN.Unit	Q.TKN	Organic.N	Organic.N.Unit	Q.Organic.N	Total.P	Total.P.Unit	Q.Total.P	PO4	PO4.Unit	Q.PO4	Other.N..species.	Other.N.Unit	Q.Other.N	Other.P..species.	Other.P.Unit	Q.Other.P	Outfall.ID	Average.Daily.Flow..ADF...mgd.
FL0128937	Northeast Water Reclamation Facility	2021	6	0.15	2.34	NA	NA	0.5	NA	NA	0.86	NA	NA	0.39	NA	NA	0.01	NA	NA	0.53	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	1.8
FL0128937	Northeast Water Reclamation Facility	2021	6	0.15	2.34	NA	NA	0.5	NA	NA	0.86	NA	NA	0.39	NA	NA	0.01	NA	NA	0.53	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	3.23
FL0128937	Northeast Water Reclamation Facility	2021	7	0.01	1	NA	NA	0.5	NA	NA	1.01	NA	NA	0.47	NA	NA	0.07	NA	NA	0.68	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	4.67
FL0128937	Northeast Water Reclamation Facility	2021	7	0.01	1	NA	NA	0.5	NA	NA	1.01	NA	NA	0.47	NA	NA	0.07	NA	NA	0.68	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	1.86
FL0128937	Northeast Water Reclamation Facility	2021	8	0	1	NA	NA	0.53	NA	NA	0.9	NA	NA	0.52	NA	NA	0.01	NA	NA	0.42	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	4.59
FL0128937	Northeast Water Reclamation Facility	2021	8	0	1	NA	NA	0.53	NA	NA	0.9	NA	NA	0.52	NA	NA	0.01	NA	NA	0.42	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	2
FL0128937	Northeast Water Reclamation Facility	2021	9	0	1	NA	NA	0.7	NA	NA	1.32	NA	NA	0.73	NA	NA	0.01	NA	NA	0.64	NA	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	6.09
FL0128937	Northeast Water Reclamation Facility	2021	9	0	1	NA	NA	0.7	NA	NA	1.32	NA	NA	0.73	NA	NA	0.01	NA	NA	0.64	NA	NA	NA	NA	NA	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	0.87
FL0128937	Northeast Water Reclamation Facility	2021	10	0.17	1	NA	NA	0.57	NA	NA	1.31	NA	NA	0.72	NA	NA	0.01	NA	NA	0.64	NA	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	1.83
FL0128937	Northeast Water Reclamation Facility	2021	10	0.17	1	NA	NA	0.57	NA	NA	1.31	NA	NA	0.72	NA	NA	0.01	NA	NA	0.64	NA	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	3.93
FL0128937	Northeast Water Reclamation Facility	2021	11	0.01	1	NA	NA	0.66	NA	NA	1.35	NA	NA	0.76	NA	NA	0.01	NA	NA	0.61	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	3.48
FL0128937	Northeast Water Reclamation Facility	2021	11	0.01	1	NA	NA	0.66	NA	NA	1.35	NA	NA	0.76	NA	NA	0.01	NA	NA	0.61	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	1.6
FL0128937	Northeast Water Reclamation Facility	2021	12	0.07	1	NA	NA	0.58	NA	NA	0.83	NA	NA	0.31	NA	NA	0.01	NA	NA	0.52	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D-001	2.85
FL0128937	Northeast Water Reclamation Facility	2021	12	0.07	1	NA	NA	0.58	NA	NA	0.83	NA	NA	0.31	NA	NA	0.01	NA	NA	0.52	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R-001	2.05
